1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'72	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	中国横断自動車道４車線化促進岡山県期成会負担金	3,000	0	3,000	0	3,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'73	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	足守川改修促進協議会負担金	22,000	0	22,000	0	22,000	0	100
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'01	'01	'04	'00	'00	'18	'91	'75	土木費	土木管理費	土木総務費	土木一般経費			負担金，補助及び交付金	その他負担金，補助及び交付金	積算システム負担金	1,980,000	0	1,980,000	0	1,969,440	10,560	99.5
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'00	'00	'00	'00	'00	'00	'00	土木費	道路橋りょう費								########	0	448,020,000	0	#######	#######	43.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'00	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費							########	0	448,020,000	0	#######	#######	43.1
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）						55,450,000	0	55,450,000	0	#######	#######	55.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'12	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			委託料			800,000	425,040	1,225,040	0	1,218,110	6,930	99.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'12	'13	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			委託料	測量等委託料		800,000	425,040	1,225,040	0	1,218,110	6,930	99.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'12	'13	'01	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			委託料	測量等委託料	測量等委託料	800,000	425,040	1,225,040	0	1,218,110	6,930	99.4
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'14	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			工事請負費			52,300,000	-425,040	51,874,960	0	#######	#######	56.9
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'14	'01	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			工事請負費	工事請負費		52,300,000	-425,040	51,874,960	0	#######	#######	56.9
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'14	'01	'01	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			工事請負費	工事請負費	工事請負費	52,300,000	-425,040	51,874,960	0	#######	#######	56.9
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'16	'00	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			公有財産購入費			2,350,000	0	2,350,000	0	0	2,350,000	0
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'16	'02	'00	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			公有財産購入費	土地購入費		2,350,000	0	2,350,000	0	0	2,350,000	0
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'02	'00	'00	'16	'02	'01	土木費	道路橋りょう費	道路新設改良費	道路改良等事業（単独分）			公有財産購入費	土地購入費	土地購入費	2,350,000	0	2,350,000	0	0	2,350,000	0
2024	0	現年度	'2025/05	'30	'20	'00	建設部	土木課		'1	一般会計	'08	'02	'03	'03	'00	'00	'00	'00	'00	土木費	道路橋りょう費	道路新設改良費	県工事負担金						52,650,000	0	52,650,000	0	#######	24,190	100
