1	2		4						10													23	24	25	26	27	28	29	30	31	32								※予算流用があった際はこの表を直接編集（編集後は赤字）					
転記コード	年度	予算区分	予算区分名称	対象年月	部	課	係	部名称	課名称	係名称	会計	会計名称	款	項	目	大事業	中事業	小事業	節	細節	細々節	款名称	項名称	目名称	大事業名称	中事業名称	小事業名称	節名称	細節名称	細々節名称	予算額	充流用等増減額	計	本月分	累計	予算残額	執行率							
R6元町井手本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	21	00	00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			補償，補填及び賠償金			8,000,000													
R6元町井手本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	21	01	00	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			補償，補填及び賠償金	補償費		8,000,000													
R6元町井手本線改良事業補償費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	13	00	00	21	01	01	土木費	道路橋りょう費	道路新設改良費	元町井手本線改良事業			補償，補填及び賠償金	補償費	補償費	8,000,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	00	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業						70,000,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	01	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			報酬			15,753,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	01	11	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			報酬	会計年度任用職員報酬		15,753,000													
R6東総社駅前泉本線改良事業会計年度任用職員報酬	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	01	11	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			報酬	会計年度任用職員報酬	会計年度任用職員報酬	15,753,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	03	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			職員手当等			5,499,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	03	30	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			職員手当等	期末手当		3,082,000													
R6東総社駅前泉本線改良事業期末手当	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	03	30	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			職員手当等	期末手当	期末手当	3,082,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	03	31	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			職員手当等	勤勉手当		2,417,000													
R6東総社駅前泉本線改良事業勤勉手当	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	03	31	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			職員手当等	勤勉手当	勤勉手当	2,417,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	04	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			共済費			3,553,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	04	03	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			共済費	共済組合等負担金		1,225,000													
R6東総社駅前泉本線改良事業共済組合等負担金	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	04	03	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			共済費	共済組合等負担金	共済組合等負担金	1,225,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	04	04	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			共済費	労働保険料等		2,328,000													
R6東総社駅前泉本線改良事業労働保険料等	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	04	04	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			共済費	労働保険料等	労働保険料等	2,328,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	08	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			旅費			594,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	08	01	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			旅費	費用弁償		594,000													
R6東総社駅前泉本線改良事業費用弁償	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	08	01	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			旅費	費用弁償	費用弁償	594,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費			785,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	01	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費	消耗品費		613,000													
R6東総社駅前泉本線改良事業消耗品費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	01	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費	消耗品費	消耗品費	613,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	02	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費	燃料費		16,000													
R6東総社駅前泉本線改良事業燃料費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	02	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費	燃料費	燃料費	16,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	05	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費	光熱水費		156,000													
R6東総社駅前泉本線改良事業光熱水費	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	10	05	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			需用費	光熱水費	光熱水費	156,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	12	00	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			委託料			216,000													
R6東総社駅前泉本線改良事業	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	12	15	00	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			委託料	設計等委託料		216,000													
R6東総社駅前泉本線改良事業設計等委託料	R6		現年度	2025/05	30	20	00	建設部	土木課		1	一般会計	08	02	03	15	00	00	12	15	01	土木費	道路橋りょう費	道路新設改良費	東総社駅前泉本線改良事業			委託料	設計等委託料	設計等委託料	216,000													
